"Day","HourN","V1"
"1","1",0.24
"1","10",0.4
"1","11",0.52
"1","12",0.64
"1","13",0.24
"1","14",0.4
"1","15",0.28
"1","16",0.36
"1","17",0.36
"1","18",0.24
"1","19",0.2
"1","2",0.12
"1","20",0.44
"1","21",0.28
"1","22",0.2
"1","23",0.16
"1","24",0.16
"1","3",0.04
"1","4",0
"1","5",0
"1","6",0.12
"1","7",0.68
"1","8",0.4
"1","9",0.48
"2","1",0
"2","10",0.4
"2","11",0.6
"2","12",0.56
"2","13",0.68
"2","14",0.64
"2","15",2.84
"2","16",2.72
"2","17",2.36
"2","18",1.84
"2","19",0.56
"2","2",0
"2","20",0.4
"2","21",0.28
"2","22",0.24
"2","23",0.08
"2","24",0
"2","3",0
"2","4",0.04
"2","5",1.08
"2","6",2.28
"2","7",3.2
"2","8",3
"2","9",2.36
"3","1",0
"3","10",0.6
"3","11",0.8
"3","12",0.4
"3","13",0.92
"3","14",0.92
"3","15",2.04
"3","16",3.16
"3","17",3.04
"3","18",2.4
"3","19",0.72
"3","2",0
"3","20",0.28
"3","21",0.24
"3","22",0.16
"3","23",0.16
"3","24",0
"3","3",0
"3","4",0.04
"3","5",0.92
"3","6",3.44
"3","7",4.36
"3","8",3.08
"3","9",2.48
"4","1",0
"4","10",0.8
"4","11",0.84
"4","12",0.56
"4","13",0.6
"4","14",0.88
"4","15",3.08
"4","16",3.28
"4","17",3.2
"4","18",1.84
"4","19",0.4
"4","2",0
"4","20",0.44
"4","21",0.32
"4","22",0.36
"4","23",0.04
"4","24",0
"4","3",0
"4","4",0.04
"4","5",1.56
"4","6",3.32
"4","7",4.48
"4","8",4.12
"4","9",2.52
"5","1",0
"5","10",0.8
"5","11",0.56
"5","12",0.8
"5","13",0.76
"5","14",0.68
"5","15",2.6
"5","16",3.32
"5","17",2.84
"5","18",1.88
"5","19",0.64
"5","2",0
"5","20",0.56
"5","21",0.36
"5","22",0.08
"5","23",0.04
"5","24",0.04
"5","3",0
"5","4",0
"5","5",1.24
"5","6",2.6
"5","7",4.36
"5","8",3.6
"5","9",2.08
"6","1",0
"6","10",0.68
"6","11",0.6
"6","12",0.48
"6","13",0.6
"6","14",0.8
"6","15",1.72
"6","16",2.88
"6","17",2.16
"6","18",1.52
"6","19",0.48
"6","2",0
"6","20",0.4
"6","21",0.32
"6","22",0.4
"6","23",0.08
"6","24",0.04
"6","3",0
"6","4",0.04
"6","5",1.04
"6","6",3.52
"6","7",4.64
"6","8",3.04
"6","9",1.44
"7","1",0.16
"7","10",0.88
"7","11",0.28
"7","12",0.48
"7","13",0.6
"7","14",0.6
"7","15",0.48
"7","16",0.24
"7","17",0.2
"7","18",0.44
"7","19",0.16
"7","2",0.08
"7","20",0.16
"7","21",0.28
"7","22",0.32
"7","23",0.2
"7","24",0.2
"7","3",0.08
"7","4",0
"7","5",0.2
"7","6",0.16
"7","7",0.96
"7","8",0.76
"7","9",0.96
