"Var1","Var2","Freq"
"External","2012",0
"FireCrime","2012",0
"Maintenance","2012",0
"Mechnical","2012",0
"NA","2012",0
"Operational","2012",0
"Schedule","2012",0
"Trains","2012",0
"External","2013",201
"FireCrime","2013",214
"Maintenance","2013",37
"Mechnical","2013",2176
"NA","2013",44
"Operational","2013",278
"Schedule","2013",409
"Trains","2013",5
"External","2014",195
"FireCrime","2014",173
"Maintenance","2014",56
"Mechnical","2014",2312
"NA","2014",17
"Operational","2014",439
"Schedule","2014",940
"Trains","2014",8
"External","2015",75
"FireCrime","2015",345
"Maintenance","2015",99
"Mechnical","2015",2495
"NA","2015",3
"Operational","2015",512
"Schedule","2015",1930
"Trains","2015",9
