,Date,Incident
0,"Daily Service Report for Tuesday, November 24, 2015",5:00 a.m. A New Carrollton-bound Orange Line train at Vienna was delayed 11 minutes due to unscheduled track maintenance.    
1,"Daily Service Report for Tuesday, November 24, 2015","
7:12 a.m. A New Carrollton-bound Orange Line train at West Falls Church was offloaded due to a door problem. Passengers experienced a 9-minute delay.    "
2,"Daily Service Report for Tuesday, November 24, 2015","
7:19 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
3,"Daily Service Report for Tuesday, November 24, 2015","
7:49 a.m. A Grosvenor-Strathmore-bound Red Line train at Gallery Place was offloaded due to a brake problem. Passengers experienced a 3-minute delay.    "
4,"Daily Service Report for Tuesday, November 24, 2015","
7:55 a.m. A Branch Avenue-bound Green Line train at West Hyattsville was offloaded due to a door problem. Passengers experienced a 7-minute delay.    "
5,"Daily Service Report for Tuesday, November 24, 2015","
7:57 a.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.    "
6,"Daily Service Report for Tuesday, November 24, 2015","
7:59 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
7,"Daily Service Report for Tuesday, November 24, 2015","
8:03 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
8,"Daily Service Report for Tuesday, November 24, 2015","
8:23 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in an 8-minute gap in service.    "
9,"Daily Service Report for Tuesday, November 24, 2015","
8:34 a.m. A Grosvenor-Strathmore-bound Red Line train at Rhode Island Avenue was offloaded due to a door problem. Passengers experienced a 5-minute delay.    "
10,"Daily Service Report for Tuesday, November 24, 2015","
8:53 a.m. A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service.    "
11,"Daily Service Report for Tuesday, November 24, 2015","
9:02 a.m. A Greenbelt-bound Green Line train at College Park was expressed for schedule adherence/improved train spacing.    "
12,"Daily Service Report for Tuesday, November 24, 2015","
11:29 a.m. A Shady Grove-bound Red Line train at Silver Spring was offloaded due to a brake problem. Passengers experienced a 9-minute delay.    "
13,"Daily Service Report for Tuesday, November 24, 2015","
2:04 p.m. A Shady Grove-bound Red Line train at Glenmont was delayed 4 minutes due to a door problem.    "
14,"Daily Service Report for Tuesday, November 24, 2015","
2:53 p.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in an 8-minute gap in service.    "
15,"Daily Service Report for Tuesday, November 24, 2015","
3:57 p.m. A Greenbelt-bound Green Line train at Fort Totten was offloaded due to a door problem. Passengers experienced a 7-minute delay.    "
16,"Daily Service Report for Tuesday, November 24, 2015","
4:56 p.m. A Shady Grove-bound Red Line train at Twinbrook was offloaded due to a brake problem. Passengers experienced a 6-minute delay.    "
17,"Daily Service Report for Tuesday, November 24, 2015","
5:55 p.m. A Glenmont-bound Red Line train at Rockville did not service the station due to an operational problem.  Passengers experienced a 6-minute delay.    "
18,"Daily Service Report for Tuesday, November 24, 2015","
8:09 p.m. A Glenmont-bound Red Line train at Dupont Circle was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
19,"Daily Service Report for Tuesday, November 24, 2015","
"
20,"Daily Service Report for Tuesday, November 24, 2015",
21,"Daily Service Report for Tuesday, November 24, 2015","Report Archives

"
0,"Daily Service Report for Monday, November 23, 2015",5:48 a.m. A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 9 minutes due to an operational problem.    
1,"Daily Service Report for Monday, November 23, 2015","
5:56 a.m. A Glenmont-bound Red Line train at Van Ness was delayed 4 minutes due to a medical emergency.     "
2,"Daily Service Report for Monday, November 23, 2015","
5:45 a.m. Red Line trains were single tracked between NoMa-Gallaudet and Rhode Island Avenue due to unscheduled track maintenance. Several trains were offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced delays up to 30 minutes until approximately 9:15 a.m.     "
3,"Daily Service Report for Monday, November 23, 2015","
6:25 a.m. A Greenbelt-bound Green Line train at Waterfront was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
4,"Daily Service Report for Monday, November 23, 2015","
6:31 a.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.    "
5,"Daily Service Report for Monday, November 23, 2015","
6:38 a.m. A Franconia-Springfield-bound Yellow Line train at Pentagon was offloaded due to an equipment problem. Passengers experienced an 8-minute delay.    "
6,"Daily Service Report for Monday, November 23, 2015","
6:44 a.m. A Huntington-bound Yellow Line train at Pentagon was rerouted to Franconia-Springfield for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
7,"Daily Service Report for Monday, November 23, 2015","
6:45 a.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.    "
8,"Daily Service Report for Monday, November 23, 2015","
6:46 a.m. A Huntington-bound Yellow Line train at Mt. Vernon Square was rerouted to Greenbelt for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
9,"Daily Service Report for Monday, November 23, 2015","
7:03 a.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.    "
10,"Daily Service Report for Monday, November 23, 2015","
7:14 a.m. A Huntington-bound Yellow Line train at Pentagon was rerouted to Franconia-Springfield for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
