,Date,Incident
0,"Daily Service Report for Wednesday, November 18, 2015",5:14 a.m. A Franconia-Springfield-bound Blue Line train at Capitol South was delayed 9 minutes due to unscheduled track maintenance.     
1,"Daily Service Report for Wednesday, November 18, 2015","
5:43 a.m. A Mt. Vernon Square-bound Yellow Line train at Huntington was delayed 6 minutes due to an operational problem.    "
2,"Daily Service Report for Wednesday, November 18, 2015","
6:18 a.m. A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 6 minutes due to unscheduled track maintenance.    "
3,"Daily Service Report for Wednesday, November 18, 2015","
7:03 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
4,"Daily Service Report for Wednesday, November 18, 2015","
7:05 a.m. A Vienna-bound Orange Line train at Virginia Square was expressed for schedule adherence/improved train spacing.    "
5,"Daily Service Report for Wednesday, November 18, 2015","
8:22 a.m. A Franconia-Springfield-bound Blue Line train at King Street was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
6,"Daily Service Report for Wednesday, November 18, 2015","
8:28 a.m. A Huntington-bound Yellow Line train at King Street was rerouted to Franconia-Springfield for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
7,"Daily Service Report for Wednesday, November 18, 2015","
8:35 a.m. A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service.    "
8,"Daily Service Report for Wednesday, November 18, 2015","
9:37 a.m. A Huntington-bound Yellow Line train at Greenbelt did not operate, resulting in a 6-minute gap in service.    "
9,"Daily Service Report for Wednesday, November 18, 2015","
12:36 p.m. A Largo Town Center-bound Silver Line train at Morgan Boulevard was delayed 4 minutes due to a signal problem.    "
10,"Daily Service Report for Wednesday, November 18, 2015","
2:45 p.m. A Shady Grove-bound Red Line train at Wheaton was offloaded due to police activity. Passengers experienced a 15-minute delay.    "
11,"Daily Service Report for Wednesday, November 18, 2015","
5:23 p.m. A Branch Avenue-bound Green Line train at Anacostia was offloaded due to a brake problem. Passengers experienced a 3-minute delay.    "
12,"Daily Service Report for Wednesday, November 18, 2015","
5:30 p.m. A Glenmont-bound Red Line train at Van Ness was offloaded due to a brake problem. Passengers experienced a 9-minute delay.    "
13,"Daily Service Report for Wednesday, November 18, 2015","
5:42 p.m. A Shady Grove-bound Red Line train at Brookland was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
14,"Daily Service Report for Wednesday, November 18, 2015","
6:22 p.m. A Grosvenor-Strathmore-bound Red Line train at White Flint was expressed for schedule adherence/improved train spacing.    "
15,"Daily Service Report for Wednesday, November 18, 2015","
7:09 p.m. A Mt. Vernon Square-bound Yellow Line train at L'Enfant Plaza was offloaded due to a brake problem. Passengers experienced a 19-minute delay.    "
16,"Daily Service Report for Wednesday, November 18, 2015","
7:28 p.m. A Vienna-bound Orange Line train at Foggy Bottom was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
17,"Daily Service Report for Wednesday, November 18, 2015","
"
18,"Daily Service Report for Wednesday, November 18, 2015",
19,"Daily Service Report for Wednesday, November 18, 2015","Report Archives

"
0,"Daily Service Report for Tuesday, November 17, 2015",5:43 a.m. A Glenmont-bound Red Line train at Gallery Place was delayed 13 minutes due to a medical emergency.     
1,"Daily Service Report for Tuesday, November 17, 2015","
5:43 a.m. A New Carrollton-bound Orange Line train at Stadium-Armory was delayed 5 minutes due to a door problem.    "
2,"Daily Service Report for Tuesday, November 17, 2015","
7:02 a.m. A Shady Grove-bound Red Line train at Union Station was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
