,Date,Incident
0,"Daily Service Report for Tuesday, December 1, 2015",5:25 a.m. A Glenmont-bound Red Line train at Farragut North reported a medical emergency. The train was offloaded and other trains single tracked around the incident. Passengers experienced delays up to 30 minutes.    
1,"Daily Service Report for Tuesday, December 1, 2015","
6:52 a.m. A Greenbelt-bound Green Line train at Anacostia was offloaded due to a mechanical problem. Passengers experienced a 6-minute delay.    "
2,"Daily Service Report for Tuesday, December 1, 2015","
7:45 a.m. A Largo Town Center-bound Blue Line train at Van Dorn Street was offloaded due to a brake problem. Passengers experienced a 6-minute delay.    "
3,"Daily Service Report for Tuesday, December 1, 2015","
8:03 a.m. A New Carrollton-bound Orange Line train at Ballston was offloaded due to a door problem. Passengers experienced a 12-minute delay.    "
4,"Daily Service Report for Tuesday, December 1, 2015","
8:23 a.m. A Branch Av-bound Green Line train at Suitland was expressed for schedule adherence/improved train spacing.    "
5,"Daily Service Report for Tuesday, December 1, 2015","
8:38 a.m. A Huntington-bound Yellow Line train at Eisenhower Ave was expressed for schedule adherence/improved train spacing.    "
6,"Daily Service Report for Tuesday, December 1, 2015","
8:49 a.m. A Whiele-Reston-bound Silver Line train did not operate, resulting in a 5-minute gap in service.    "
7,"Daily Service Report for Tuesday, December 1, 2015","
9:41 a.m. A Largo Town Center-bound Silver Line train at Rosslyn was offloaded for a mechanical problem. Passengers experienced a 3-minute delay.    "
8,"Daily Service Report for Tuesday, December 1, 2015","
4:01 p.m. A Greenbelt-bound Green Line train at Southern Avenue was offloaded for a mechanical problem. Passengers experienced an 8-minute delay.    "
9,"Daily Service Report for Tuesday, December 1, 2015","
4:16 p.m. A Largo Town Center-bound Blue Line train at Rosslyn was offloaded for a brake problem. Passengers experienced an 8-minute delay.    "
10,"Daily Service Report for Tuesday, December 1, 2015","
4:28 p.m. A Greenbelt-bound Green Line train at Naylor Road was expressed for schedule adherence/improved train spacing.    "
11,"Daily Service Report for Tuesday, December 1, 2015","
5:01 p.m. A Mt Vernon Sq-bound Yellow Line train approaching King Street was delayed 4 minutes due to a signal problem.    "
12,"Daily Service Report for Tuesday, December 1, 2015","
5:05 p.m. A Franconia-Springfield-bound Blue Line train approaching King Street was delayed 4 minutes due to a signal problem.    "
13,"Daily Service Report for Tuesday, December 1, 2015","
10:04 p.m. A Glenmont-bound Red Line train at Brookland was offloaded due to a mechanical problem. Passengers experienced an 8-minute delay. "
14,"Daily Service Report for Tuesday, December 1, 2015",
15,"Daily Service Report for Tuesday, December 1, 2015","Report Archives

"
